first_reading	second_reading	third_reading
	2022-10-02T15:24Z;116:36;00:27	2022-10-02T16:25Z;22:40;00:05
	2022-10-02T15:24Z;117:02;00:26	2022-10-02T16:26Z;22:46;00:05
	2022-10-02T15:25Z;117:31;00:28	2022-10-02T16:26Z;22:51;00:05
	2022-10-02T15:25Z;118:03;00:31	2022-10-02T16:26Z;22:57;00:05
	2022-10-02T15:26Z;118:44;00:41	2022-10-02T16:26Z;23:02;00:05
	2022-10-02T15:27Z;119:16;00:32	2022-10-02T16:26Z;23:08;00:05
	2022-10-02T15:27Z;119:48;00:31	2022-10-02T16:26Z;23:13;00:05
	2022-10-02T15:28Z;120:17;00:29	2022-10-02T16:26Z;23:19;00:05
	2022-10-02T15:28Z;120:46;00:29	2022-10-02T16:26Z;23:24;00:05
	2022-10-02T15:29Z;121:12;00:25	2022-10-02T16:26Z;23:30;00:05
	2022-10-02T15:29Z;121:39;00:26	2022-10-02T16:26Z;23:35;00:05
	2022-10-02T15:30Z;122:08;00:29	2022-10-02T16:26Z;23:41;00:05
	2022-10-02T15:30Z;122:36;00:27	2022-10-02T16:27Z;23:48;00:06
	2022-10-02T15:30Z;123:04;00:28	2022-10-02T16:27Z;23:54;00:05
	2022-10-02T15:31Z;123:33;00:28	2022-10-02T16:27Z;24:00;00:05
	2022-10-02T15:31Z;124:02;00:29	2022-10-02T16:27Z;24:06;00:05
	2022-10-02T15:32Z;124:28;00:26	2022-10-02T16:27Z;24:11;00:05
	2022-10-02T15:32Z;124:56;00:27	2022-10-02T16:27Z;24:17;00:05
	2022-10-02T15:33Z;125:24;00:28	2022-10-02T16:27Z;24:22;00:05
	2022-10-02T15:33Z;125:54;00:30	2022-10-02T16:27Z;24:30;00:07
	2022-10-02T15:34Z;126:23;00:28	2022-10-02T16:28Z;24:46;00:16
	2022-10-02T15:34Z;126:51;00:27	2022-10-02T16:28Z;25:08;00:21
	2022-10-02T15:35Z;127:20;00:28	
	2022-10-02T15:35Z;127:45;00:25	
	2022-10-02T15:36Z;128:11;00:25	
	2022-10-02T15:36Z;128:37;00:26	
	2022-10-02T15:37Z;129:06;00:28	
	2022-10-02T15:37Z;129:33;00:27	
	2022-10-02T15:37Z;130:01;00:27	
	2022-10-02T15:38Z;130:28;00:27	
	2022-10-02T15:38Z;131:01;00:32	
	2022-10-02T15:39Z;131:30;00:29	
	2022-10-02T15:39Z;131:59;00:29	
	2022-10-02T15:40Z;132:30;00:30	
	2022-10-02T15:40Z;133:00;00:29	
	2022-10-02T15:41Z;133:28;00:27	
	2022-10-02T15:41Z;133:56;00:28	
	2022-10-02T15:42Z;134:27;00:31	
	2022-10-02T15:42Z;134:57;00:29	
	2022-10-02T15:43Z;135:26;00:29	
	2022-10-02T15:43Z;135:57;00:30	
	2022-10-02T15:44Z;136:25;00:27	
	2022-10-02T15:44Z;136:54;00:29	
	2022-10-02T15:45Z;137:26;00:31	
	2022-10-02T15:45Z;137:57;00:31	
	2022-10-02T15:46Z;138:33;00:35	
	2022-10-02T15:47Z;139:07;00:34	
